Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,263.369995,265.160004,258.619995,264.070007,255.029404,151445900
2018-12-11,267.660004,267.869995,262.480011,264.130005,255.087326,121504400
2018-12-12,267.470001,269.000000,265.369995,265.459991,256.371765,97976700
2018-12-13,266.519989,267.489990,264.119995,265.369995,256.284851,96662700
2018-12-14,262.959991,264.029999,259.850006,260.470001,251.552628,116961100
2018-12-17,259.399994,260.649994,253.529999,255.360001,246.617599,165492300
2018-12-18,257.200012,257.950012,253.279999,255.080002,246.347183,134515100
2018-12-19,255.169998,259.399994,249.350006,251.259995,242.657928,214992800
2018-12-20,249.860001,251.619995,244.649994,247.169998,238.707993,252053400
2018-12-21,246.740005,249.710007,239.979996,240.699997,233.816956,255345600
2018-12-24,239.039993,240.839996,234.270004,234.339996,227.638824,147311600
2018-12-26,235.970001,246.179993,233.759995,246.179993,239.140244,218485400
2018-12-27,242.570007,248.289993,238.960007,248.070007,240.976212,186267300
2018-12-28,249.580002,251.399994,246.449997,247.750000,240.665375,153100200
2018-12-31,249.559998,250.190002,247.470001,249.919998,242.773315,144299400
2019-01-02,245.979996,251.210007,245.949997,250.179993,243.025879,126925200
2019-01-03,248.229996,248.570007,243.669998,244.210007,237.226593,144140700
2019-01-04,247.589996,253.110001,247.169998,252.389999,245.172668,142628800
2019-01-07,252.690002,255.949997,251.690002,254.380005,247.105774,103139100
2019-01-08,256.820007,257.309998,254.000000,256.769989,249.427399,102512600
2019-01-09,257.559998,258.910004,256.190002,257.970001,250.593124,95006600
2019-01-10,256.260010,259.160004,255.500000,258.880005,251.477097,96823900
2019-01-11,257.679993,259.010010,257.029999,258.980011,251.574234,73858100
2019-01-14,256.859985,258.299988,256.410004,257.399994,250.039413,70908200
2019-01-15,257.820007,260.700012,257.809998,260.350006,252.905075,85208300
2019-01-16,260.829987,261.970001,260.600006,260.980011,253.517014,77636700
2019-01-17,260.010010,263.920013,259.959991,262.959991,255.440445,96118400
2019-01-18,264.980011,266.980011,263.000000,266.459991,258.840332,127900300
2019-01-22,264.820007,265.059998,261.059998,262.859985,255.343262,115531200
2019-01-23,264.010010,264.790009,260.660004,263.410004,255.877563,86030300
2019-01-24,263.209991,264.200012,262.079987,263.549988,256.013519,59204100
2019-01-25,265.609985,266.700012,263.660004,265.779999,258.179779,96883400
2019-01-28,263.390015,263.829987,261.790009,263.760010,256.217560,85613700
2019-01-29,263.920013,264.549988,262.480011,263.410004,255.877563,66136300
2019-01-30,265.100006,268.519989,264.250000,267.579987,259.928284,92473700
2019-01-31,267.510010,270.470001,267.269989,269.929993,262.211121,104012100
2019-02-01,270.149994,271.200012,269.179993,270.059998,262.337372,85782500
2019-02-04,270.109985,272.029999,269.359985,271.959991,264.183044,60744800
2019-02-05,272.440002,273.440002,271.880005,273.100006,265.290436,79552800
2019-02-06,272.790009,273.339996,271.920013,272.739990,264.940704,58347800
2019-02-07,270.940002,271.549988,268.290009,270.140015,262.415131,95482000
2019-02-08,268.750000,270.579987,267.829987,270.470001,262.735657,75788900
2019-02-11,271.200012,271.489990,270.029999,270.619995,262.881378,68021400
2019-02-12,272.420013,274.519989,272.339996,274.100006,266.261871,72270200
2019-02-13,275.029999,275.929993,274.559998,274.989990,267.126373,65277200
2019-02-14,273.779999,275.640015,272.869995,274.380005,266.533844,83234400
2019-02-15,276.359985,277.410004,276.130005,277.369995,269.438354,97088700
2019-02-19,276.480011,278.579987,276.470001,277.850006,269.904633,59120800
2019-02-20,277.809998,278.920013,277.250000,278.410004,270.448578,76610800
2019-02-21,277.700012,278.100006,276.350006,277.420013,269.486908,64214700
2019-02-22,278.109985,279.359985,277.399994,279.140015,271.157715,78114600
2019-02-25,280.730011,281.309998,279.429993,279.519989,271.526855,69030700
2019-02-26,279.130005,280.299988,278.899994,279.320007,271.332581,56844100
2019-02-27,278.519989,279.589996,277.480011,279.200012,271.216064,56921600
2019-02-28,278.959991,279.450012,278.320007,278.679993,270.710846,69268300
2019-03-01,280.440002,280.880005,278.820007,280.420013,272.401123,78880500
2019-03-04,281.600006,281.869995,276.839996,279.399994,271.410309,106494600
2019-03-05,279.540009,279.760010,278.410004,279.019989,271.041138,59114600
2019-03-06,279.149994,279.160004,276.970001,277.329987,269.399475,75039800
2019-03-07,276.829987,276.989990,274.070007,275.010010,267.145813,94885100
2019-03-08,272.940002,274.649994,272.420013,274.459991,266.611572,85795800
2019-03-11,275.260010,278.619995,275.230011,278.440002,270.477753,65098900
2019-03-12,279.059998,280.070007,278.850006,279.489990,271.497681,79667500
2019-03-13,280.480011,282.380005,280.299988,281.339996,273.294800,80639200
2019-03-14,281.369995,281.839996,280.670013,281.160004,273.119934,67518400
2019-03-15,280.540009,282.209991,280.329987,281.309998,274.469360,81309000
2019-03-18,281.549988,282.660004,281.299988,282.329987,275.464508,62199800
